IDStore,OutletLocation,OutletCategory,StreetAddress1,StreetAddress2,UrbanVillage,Sub-district,City,Province,PostalCode,OpenTime,ClosedTime,GoogleRating,GoFoodRating,GrabFoodRating,YummyAdvisorRating
ID4002,Duta Mall Banjarmasin,Shopping Mall,Jl. A. Yani No.98,,Melayu,Banjarmasin Tengah,Banjarmasin,Kalimantan Selatan,70232,08:00:00 AM,10:00:00 PM,4.9,4.8,4.9,4.3
ID4003,Pentacity Mall ,Shopping Mall,Jalan Jenderal Sudirman No.47  ,,Gunung Bahagia,Balikpapan Selatan,Balikpapan,Kalimantan Timur,76114,10:00:00 AM,10:00:00 PM,4.6,4.8,,3.7
ID4004,Mall Balikpapan Baru,Shopping Mall,Jl. Belakang Mall BB No.77,Lantai GF,Damai,Balikpapan Selatan,Balikpapan,Kalimantan Timur,76114,10:00:00 AM,09:00:00 PM,4.3,4.8,,
ID4005,Big Mall,Shopping Mall,Jl. Untung Suropati No.08,,Karang Asam Ulu,Sungai Kunjang,Samarinda,Kalimantan Timur,75243,10:00:00 AM,10:00:00 PM,4.7,4.8,4.8,
ID4006,Samarinda City Centrum,Shopping Mall,Jl. Mulawarman No.171,Unit L1-06,Karang Mumus,Samarinda Kota,Samarinda,Kalimantan Timur,75242,10:00:00 AM,09:00:00 PM,4.7,,,
ID4007,Citimall Bontang,Shopping Mall,Jl. Jendral Soedirman,Unit G-0080 & G-0090,Tanjung Laut,Bontang Selatan,Bontang,Kalimantan Timur,75325,10:00:00 AM,10:00:00 PM,4.6,,,
ID5001,Godean,CafeStore,Jl. Godean KM1 No.38 Kav 1-6,,Ngestiharjo,Kasihan,Bantul,Yogyakarta,55182,07:00:00 AM,10:00:00 PM,4.8,4.8,4.8,4.3
ID5002,CIMB Niaga UGM,University,Jl. Sosio Humaniora No.1,,Caturtunggal,Depok,Sleman,Yogyakarta,55281,08:30:00 AM,04:30:00 PM,4.9,,,
ID5003,Kaliurang,CafeStore,Jl. Kaliurang No.KM 5,,Caturtunggal,Depok,Sleman,Yogyakarta,55153,07:00:00 AM,11:30:00 PM,4.4,4.8,4.8,
ID5004,Palagan,CafeStore,Jl. Palagan Tentara Pelajar No.KM 12.5,,Donoharjo,Ngaglik,Sleman,Yogyakarta,55000,10:00:00 AM,10:00:00 PM,4.8,4.7,,
ID5005,Paragon Semarang,Shopping Mall,Jl. Pemuda No.118,lantai 2 unit 11-12,Sekayu,Semarang Tengah,Semarang,Jawa Tengah,50132,10:00:00 AM,10:00:00 PM,4,4.8,4.9,
ID5006,Setiabudi Semarang,CafeStore,Jalan Setiabudi No. 60 ,,Sumurboto,Banyumanik,Semarang,Jawa Tengah,50262,07:00:00 AM,10:00:00 PM,4.7,,,
ID5007,Solo Paragon Mall,Shopping Mall,Jl. Yosodipuro No. 133,Unit GFC-07C,Mangkubumen,Banjarsari,Surakarta,Jawa Tengah,57139,10:00:00 AM,10:00:00 PM,4.7,4.8,4.9,
ID5008,The Park Solo,Shopping Mall,Jalan Insinyur Sukarno,Level GF,Madegondo,Grogol,Sukoharjo,Jawa Tengah,57552,10:00:00 AM,10:00:00 PM,4.9,4.8,,
ID5009,Mall Olympic Garden,Shopping Mall,Jl Kawi No.24 ,lantai GF,Kauman,Klojen,Malang,Jawa Timur,65116,10:00:00 AM,10:00:00 PM,4.6,4.7,4.9,
ID5010,Semeru,CafeStore,Jl. Semeru No.72,,Oro-oro Dowo,Klojen,Malang,Jawa Timur,65115,07:00:00 AM,11:00:00 PM,4.6,4.8,4.8,4.5
ID5011,Malang Town Square,Shopping Mall,Jl. Veteran No.2,lantai GF,Penanggungan,Klojen,Malang,Jawa Timur,65111,09:00:00 AM,10:00:00 PM,4.4,4.8,4.8,
ID5012,Araya Plaza,Shopping Mall,Jl. Blimbing Indah Megah No.2,,Purwodadi,Blimbing,Malang,Jawa Timur,65126,07:00:00 AM,10:00:00 PM,4.6,4.8,,
ID5013,Tunjungan Plaza 3,Shopping Mall,Jl. Basuki Rahmat No.8-12,Lantai 3,Kedungdoro,Tegalsari,Surabaya,Jawa Timur,60261,09:00:00 AM,10:00:00 PM,4.7,4.7,4.8,
ID5014,Tunjungan Plaza 6,Shopping Mall,Jl. Basuki Rahmat No.8-12 ,Lantai 3,Kedungdoro,Tegalsari,Surabaya,Jawa Timur,60261,10:00:00 AM,10:00:00 PM,4.6,4.7,4.8,
ID5015,Pakuwon Mall,Shopping Mall,Jl. Puncak Indah Jl. Lontar No. 2  ,Lantai 2 ,Lontar,Sambikarep,Surabaya,Jawa Timur,60216,11:00:00 AM,09:00:00 PM,4.6,4.8,4.8,3.7
ID5016,Royal Plaza Surabaya,Shopping Mall,Jl. Ahmad Yani no 16-18,Lantai LG,Wonokromo,Wonokromo,Surabaya,Jawa Timur,60243,10:00:00 AM,10:00:00 PM,4.6,4.8,4.9,
ID5017,Pucang Anom,CafeStore,Jl. Pucang anom timur no 25 - IV,,Kertajaya,Gubeng,Surabaya,Jawa Timur,60282,08:00:00 AM,08:00:00 PM,4.6,4.8,4.8,
ID5018,Pakuwon City Mall,Shopping Mall,Jl. Raya Laguna KJW Putih Tambak No.2,Lobby,Kejawaan Putih Tamba,Mulyorejo,Surabaya,Jawa Timur,60112,10:00:00 AM,10:00:00 PM,4.8,4.9,4.8,
ID5019,Cirebon Super Block Mall,Shopping Mall,Jl. DR. Cipto Mangunkusumo No.26,GF,Pekiringan,Kesambi,Cirebon,Jawa Barat,45131,10:00:00 AM,09:00:00 PM,4.8,4.7,4.8,
ID5020,Citimall Cianjur 2,Shopping Mall,Jl. KH Abdullah Bin Nuh No.2B,Unit G-0020,Pamoyanan,Cianjur,Cianjur,Jawa Barat,43211,09:00:00 AM,09:00:00 PM,4.7,4.8,,
ID5021,Citimall Sukabumi,Shopping Mall,Jl. A. Yani No.121-127,G-0115,Gunungparang,Cikole,Sukabumi,Jawa Barat,43111,09:00:00 AM,09:00:00 PM,5,4.8,,
ID5022,AEON Mall Sentul,Shopping Mall,Jl. MH. Thamrin,Lantai ground unit G62,Sentul City,Babakan Madang,Bogor,Jawa Barat,16810,10:00:00 AM,10:00:00 PM,4.6,4.8,,
ID5023,Yogya Bogor Junction,Shopping Mall,Jl. Pabaton No.63,,Sempur,Bogor Tengah,Bogor,Jawa Barat,16121,09:00:00 AM,09:00:00 PM,4.4,4.8,,
ID5024,Resinda Park Mall Karawang,Shopping Mall,Jl. Interchange Karawang Barat,Foodcourt Yashinoya Lantai 2,Purwadana,Telukjambe Timur,Karawang,Jawa Barat,41361,10:00:00 AM,10:00:00 PM,4.6,4.8,4.9,
ID5025,Sawangan,CafeStore,Jl. Raya Sawangan No. 32B ,,Mampang,Pancoran Mas,Depok,Jawa Barat,16433,07:00:00 AM,10:00:00 PM,4.9,4.8,,
ID5026,Margonda Raya,CafeStore,Jl. Margonda Raya No.476,,Pondok Cina,Beji,Depok,Jawa Barat,16424,08:00:00 AM,09:00:00 PM,4.7,4.8,4.8,
ID5027,DMall Depok,Shopping Mall,Jl. Margonda Raya Kav. 88,,Kemiri Muka,Beji,Depok,Jawa Barat,16423,09:00:00 AM,08:00:00 PM,4.3,4.8,4.9,
ID5028,Yogya Sumber Sari Junction,Shopping Mall,Jl. Sumber Sari No.34,GF Floor,Babakan,Babakan Ciparay,Bandung,Jawa Barat,40222,10:00:00 AM,09:30:00 PM,4.6,4.8,4.9,
ID5029,Griya Buah Batu,CafeStore,Jl. Buah Batu No.183-185,,Turangga,Lengkong,Bandung,Jawa Barat,40264,10:00:00 AM,09:00:00 PM,4.4,4.8,4.9,
ID5030,Trans Studio Mall Bandung,Shopping Mall,Jl. Gatot Subroto No. 289,GF Floor,Cibangkong,Batununggal,Bandung,Jawa Barat,40273,08:00:00 AM,10:00:00 PM,4.3,4.8,4.9,
